Ant_ID,time,Action
594,1179,Exit
594,1252,Enter
594,1270,Exit
594,1693,Enter
594,2709,Exit
666,2713,Exit
594,2743,Enter
594,2820,Exit
594,2928,Enter
594,2958,Exit
643,2972,Exit
594,3522,Enter
666,3952,Enter
643,4073,Enter
666,4353,Exit
594,4362,Exit
643,4883,Exit
666,4901,Enter
594,5180,Enter
643,5195,Enter
666,5200,Exit
643,5223,Exit
643,5227,Enter
643,5338,Exit
594,5717,Exit
643,5771,Enter
643,5852,Exit
564,5935,Exit
666,5968,Enter
564,5996,Enter
571,9023,Enter
407,10196,Exit
666,10200,Exit
407,10205,Enter
666,10272,Enter
666,10286,Exit
560,10857,Exit
703,10934,Exit
703,10943,Enter
560,10996,Enter
666,11119,Enter
594,11213,Exit
729,11241,Exit
729,11258,Enter
688,11362,Exit
688,11391,Enter
688,11542,Exit
688,11586,Enter
494,11672,Exit
494,11676,Enter
643,11725,Exit
571,11731,Exit
571,11754,Enter
666,11879,Exit
666,14041,Enter
666,14267,Exit
